makeID,ID,makeName,Name
54,6,Ford,Truck
54,7,Ford,Van
FORDSON,Tractors,Fordson,Tractor
497,HD TRUCK,Freightliner,Heavy Duty
497,12,Freightliner,Medium Duty
497,2187,Freightliner,Medium/Heavy Truck
497,7,Freightliner,Van
FUCHS,Excavators,Fuchs,Excavator
48,2187,GMC,Medium/Heavy Truck
48,6,GMC,Truck
48,7,GMC,Van
GMI,2189,GMI,Scooter
GALION,Cranes,Galion,Crane
GALION,Graders,Galion,Grader
GALION,Rollers,Galion,Roller
895,Graders,Gehl,Grader
895,Skid Steer,Gehl,Skid Steer
GENERAC,Engines-In,Generac,Engines - Industrial
GENERAC,Generators,Generac,Generator
GENERAL PR,Engines-Ma,General Propulsion,Engine - Marine
GENIE,Generators,Genie Industries,Generator
50,5,Geo,Car
50,6,Geo,Truck
GILCREST,Paving Equ,Gilcrest,Paving Equipment
GILLING,Buses,Gilling,Bus
GLASTRON,Engines-Ma,Glastron,Engine - Marine
GLENWOOD,Engines-Ma,Glenwood,Engine - Marine
GO SCOOT,44,Go Scoot,ATV
GODWIN,Generators,Godwin,Generator
GODWIN,Pumps,Godwin,Pump
GOODALL,Power Unit,Goodall,Power Unit
GRADALL,Excavators,Gradall,Excavator
GRADALL,Graders,Gradall,Grader
GRADALL,Handlers,Gradall,Handler
GRADALL,Misc. Equi,Gradall,Misc. Equipment
GRAFCO,Misc. Equi,Grafco,Misc. Equipment
703,Tractors L,Grasshopper,Tractor - Lawn
704,Tractors L,Gravely,Tractor - Lawn
GRAY,Engines-Ma,Gray,Engine - Marine
GREENWICH,BOAT,Greenwich,Boat
GRIMMER,Compressor,Grimmer Schmidt,Compressor
GROVE MFG.,Cranes,Grove Mfg.,Crane
GUARDIAN,BOAT,Guardian,Boat
HALE FIRE,Misc. Equi,Hale Fire Pump Company,Misc. Equipment
HAMM,Rollers,Hamm,Roller
HANSEN,BOAT,Hansen,Boat
HARDIN,BOAT,Hardin,Boat
HARDIN,Stern Driv,Hardin,Stern Drive
1187,40,Harley Davidson,Motorcycle
1187,49,Harley Davidson,Street Motorcycle
HARLO,Lift Truck,Harlo,Lift Truck
HARMAN,BOAT,Harman,Boat
HATZ,Engines,Hatz,Engine Medium Duty
HAWKPOWER,Generators,Hawkpower,Generator
HERCULES,Engine,Hercules,Engine Heavy Duty
903,Tractors,Hesston,Tractor
903,18,Hesston,Windrower
499,Engines-Ma,Hino,Engine - Marine
499,Engine,Hino,Engine Heavy Duty
499,Engines-In,Hino,Engines - Industrial
499,12,Hino,Medium Duty
499,2187,Hino,Medium/Heavy Truck
HITACHI,Excavators,Hitachi,Excavator
HOLDEN EU,5,Holden - Europe,Car
HOLDEN EU,6,Holden - Europe,Truck
HOLMANN-MO,Engines-Ma,Holmann-Moody,Engine - Marine
EU HONDA,5,Honda - Europe,Car
EU HONDA,6,Honda - Europe,Truck
EU HONDA,7,Honda - Europe,Van
EU HON LCV,7,Honda LCV - Europe,Van
59,44,Honda,ATV
59,5,Honda,Car
59,Engines-Ma,Honda,Engine - Marine
59,46,Honda,Offroad Motorcycle
59,47,Honda,Personal Watercraft
59,2189,Honda,Scooter
59,Small Engi,Honda,Small Engine
59,49,Honda,Street Motorcycle
59,6,Honda,Truck
59,7,Honda,Van
HOUGH,Dozers,Hough,Dozer
HOUGH,Misc. Equi,Hough,Misc. Equipment
HOUGH,Payloaders,Hough,Payloader
HOUGH,Paymovers,Hough,Paymover
HUBER,Cranes,Huber,Crane
HUBER,Graders,Huber,Grader
HUBER,Maintainer,Huber,Maintainer
HUBER,Rollers,Huber,Roller
93,6,Hummer,Truck
629,50,Husqvarna,Utility Vehicle
HY-DYNAMIC,Backhoes,Hy-Dynamic,Backhoe
HY-DYNAMIC,Cranes,Hy-Dynamic,Crane
HY-DYNAMIC,Loaders,Hy-Dynamic,Loader
HYSTER,Compactors,Hyster,Compactor
HYSTER,Cranes,Hyster,Crane
HYSTER,Lift Truck,Hyster,Lift Truck
HYSTER,Rollers,Hyster,Roller
HYSTER,Straddle T,Hyster,Straddle Truck
EU HYUNDAI,5,Hyundai - Europe,Car
EU HYUNDAI,6,Hyundai - Europe,Truck
EU HYUNDAI,7,Hyundai - Europe,Van
EU HYU LCV,6,Hyundai LCV - Europe,Truck
EU HYU LCV,7,Hyundai LCV - Europe,Van
3,5,Hyundai,Car
3,Excavators,Hyundai,Excavator
3,Medium & H,Hyundai,Medium & Heavy-Duty Trucks
3,6,Hyundai,Truck
3,7,Hyundai,Van
3,Wheel Load,Hyundai,Wheel Loader
INDMAR,Engines-Ma,Indmar,Engine - Marine
68,5,Infiniti,Car
68,6,Infiniti,Truck
INGERSOLL,Compactors,Ingersoll Rand,Compactor
INGERSOLL,Compressor,Ingersoll Rand,Compressor
INGERSOLL,Generator ,Ingersoll Rand,Generator Set
